Bus_k,Bus_j,Connectivity,
slack,slack,1,
slack,primary,1,
slack,secondary,0,
slack,f2_44,0,
slack,f2_45,0,
slack,f2_46,0,
slack,f2_51,0,
slack,f2_48,0,
slack,f2_52,0,
slack,f2_68,0,
slack,f2_69,0,
slack,f2_71,0,
slack,f2_72,0,
slack,f2_73,0,
slack,f2_74,0,
slack,f2_77,0,
slack,f2_79,0,
slack,f2_81,0,
slack,f2_82,0,
slack,f2_116,0,
slack,f2_119,0,
slack,f2_120,0,
slack,f2_248,0,
slack,f2_124,0,
slack,f2_282,0,
slack,f2_275,0,
slack,f2_151,0,
slack,f2_295,0,
slack,f2_311,0,
slack,f2_201,0,
slack,f2_314,0,
slack,f2_342,0,
slack,f2_368,0,
slack,f2_347,0,
slack,f2_353,0,
slack,f2_518,0,
slack,f2_365,0,
slack,f2_653,0,
slack,f2_377,0,
slack,f2_622,0,
slack,f2_451,0,
slack,f2_383,0,
slack,f2_385,0,
slack,f2_621,0,
slack,f2_611,0,
slack,f2_405,0,
slack,f2_461,0,
slack,f2_594,0,
slack,f2_732,0,
slack,f2_417,0,
slack,f2_663,0,
slack,f2_444,0,
slack,f2_759,0,
slack,f2_842,0,
slack,f2_459,0,
slack,f2_702,0,
slack,f2_493,0,
slack,f2_651,0,
slack,f2_684,0,
slack,f2_674,0,
slack,f2_696,0,
slack,f2_681,0,
slack,f2_682,0,
slack,f2_728,0,
slack,f2_724,0,
slack,f2_703,0,
slack,f2_704,0,
slack,f2_754,0,
slack,f2_747,0,
slack,f2_828,0,
slack,f2_763,0,
slack,f2_836,0,
slack,f2_758,0,
slack,f2_788,0,
slack,f2_812,0,
slack,f2_947,0,
slack,f2_868,0,
slack,f2_785,0,
slack,f2_1176,0,
slack,f2_846,0,
slack,f2_911,0,
slack,f2_1107,0,
slack,f2_920,0,
slack,f2_926,0,
slack,f2_1239,0,
slack,f2_933,0,
slack,f2_1146,0,
slack,f2_1124,0,
slack,f2_942,0,
slack,f2_952,0,
slack,f2_965,0,
slack,f2_961,0,
slack,f2_963,0,
slack,f2_973,0,
slack,f2_1128,0,
slack,f2_1113,0,
slack,f2_1143,0,
slack,f2_1238,0,
slack,f2_979,0,
slack,f2_1236,0,
slack,f2_989,0,
slack,f2_1196,0,
slack,f2_1158,0,
slack,f2_1122,0,
slack,f2_1258,0,
slack,f2_1303,0,
slack,f2_1138,0,
slack,f2_1304,0,
slack,f2_1212,0,
slack,f2_1311,0,
slack,f2_1290,0,
slack,f2_1325,0,
slack,f2_1248,0,
slack,f2_1249,0,
slack,f2_1250,0,
slack,f2_1366,0,
slack,f2_1266,0,
slack,f2_1372,0,
slack,f2_1363,0,
slack,f2_1446,0,
slack,f2_1502,0,
slack,f2_1428,0,
slack,f2_1380,0,
slack,f2_1550,0,
slack,f2_1386,0,
slack,f2_1551,0,
slack,f2_1400,0,
slack,f2_1552,0,
slack,f2_1408,0,
slack,f2_1553,0,
slack,f2_1416,0,
slack,f2_1530,0,
slack,f2_1425,0,
slack,f2_1589,0,
slack,f2_1435,0,
slack,f2_1621,0,
slack,f2_1564,0,
slack,f2_1704,0,
slack,f2_1525,0,
slack,f2_1716,0,
slack,f2_1537,0,
slack,f2_1645,0,
slack,f2_1561,0,
slack,f2_1657,0,
slack,f2_1570,0,
slack,f2_1756,0,
slack,f2_1588,0,
slack,f2_1628,0,
slack,f2_1598,0,
slack,f2_1816,0,
slack,f2_1765,0,
slack,f2_1641,0,
slack,f2_1689,0,
slack,f2_1744,0,
slack,f2_1817,0,
slack,f2_1779,0,
slack,f2_1800,0,
slack,f2_1818,0,
slack,f2_1753,0,
slack,f2_1754,0,
primary,slack,1,
primary,primary,1,
primary,secondary,1,
primary,f2_44,0,
primary,f2_45,0,
primary,f2_46,0,
primary,f2_51,0,
primary,f2_48,0,
primary,f2_52,0,
primary,f2_68,0,
primary,f2_69,0,
primary,f2_71,0,
primary,f2_72,0,
primary,f2_73,0,
primary,f2_74,0,
primary,f2_77,0,
primary,f2_79,0,
primary,f2_81,0,
primary,f2_82,0,
primary,f2_116,0,
primary,f2_119,0,
primary,f2_120,0,
primary,f2_248,0,
