Bus_k,Bus_j,Connectivity,
slack,slack,1,
slack,primary,1,
slack,secondary,0,
slack,f5_22,0,
slack,f5_75,0,
slack,f5_83,0,
slack,f5_117,0,
slack,f5_87,0,
slack,f5_132,0,
slack,f5_92,0,
slack,f5_140,0,
slack,f5_98,0,
slack,f5_130,0,
slack,f5_105,0,
slack,f5_148,0,
slack,f5_111,0,
slack,f5_166,0,
slack,f5_133,0,
slack,f5_124,0,
slack,f5_125,0,
slack,f5_149,0,
slack,f5_139,0,
slack,f5_161,0,
slack,f5_142,0,
slack,f5_153,0,
slack,f5_188,0,
slack,f5_160,0,
slack,f5_151,0,
slack,f5_167,0,
slack,f5_159,0,
slack,f5_174,0,
slack,f5_211,0,
slack,f5_178,0,
slack,f5_173,0,
slack,f5_189,0,
slack,f5_227,0,
slack,f5_200,0,
slack,f5_194,0,
slack,f5_201,0,
slack,f5_237,0,
slack,f5_234,0,
slack,f5_268,0,
slack,f5_216,0,
slack,f5_222,0,
slack,f5_232,0,
slack,f5_238,0,
slack,f5_308,0,
slack,f5_274,0,
slack,f5_243,0,
slack,f5_256,0,
primary,slack,1,
primary,primary,1,
primary,secondary,1,
primary,f5_22,0,
primary,f5_75,0,
primary,f5_83,0,
primary,f5_117,0,
primary,f5_87,0,
primary,f5_132,0,
primary,f5_92,0,
primary,f5_140,0,
primary,f5_98,0,
primary,f5_130,0,
primary,f5_105,0,
primary,f5_148,0,
primary,f5_111,0,
primary,f5_166,0,
primary,f5_133,0,
primary,f5_124,0,
primary,f5_125,0,
primary,f5_149,0,
primary,f5_139,0,
primary,f5_161,0,
primary,f5_142,0,
primary,f5_153,0,
primary,f5_188,0,
primary,f5_160,0,
primary,f5_151,0,
primary,f5_167,0,
primary,f5_159,0,
primary,f5_174,0,
primary,f5_211,0,
primary,f5_178,0,
primary,f5_173,0,
primary,f5_189,0,
primary,f5_227,0,
primary,f5_200,0,
primary,f5_194,0,
primary,f5_201,0,
primary,f5_237,0,
primary,f5_234,0,
primary,f5_268,0,
primary,f5_216,0,
primary,f5_222,0,
primary,f5_232,0,
primary,f5_238,0,
primary,f5_308,0,
primary,f5_274,0,
primary,f5_243,0,
primary,f5_256,0,
secondary,slack,0,
secondary,primary,1,
secondary,secondary,1,
secondary,f5_22,1,
secondary,f5_75,0,
secondary,f5_83,0,
secondary,f5_117,0,
secondary,f5_87,0,
secondary,f5_132,0,
secondary,f5_92,0,
secondary,f5_140,0,
secondary,f5_98,0,
secondary,f5_130,0,
secondary,f5_105,0,
secondary,f5_148,0,
secondary,f5_111,0,
secondary,f5_166,0,
secondary,f5_133,0,
secondary,f5_124,0,
secondary,f5_125,0,
secondary,f5_149,0,
secondary,f5_139,0,
secondary,f5_161,0,
secondary,f5_142,0,
secondary,f5_153,0,
secondary,f5_188,0,
secondary,f5_160,0,
secondary,f5_151,0,
secondary,f5_167,0,
secondary,f5_159,0,
secondary,f5_174,0,
secondary,f5_211,0,
secondary,f5_178,0,
secondary,f5_173,0,
secondary,f5_189,0,
secondary,f5_227,0,
secondary,f5_200,0,
secondary,f5_194,0,
secondary,f5_201,0,
secondary,f5_237,0,
secondary,f5_234,0,
secondary,f5_268,0,
secondary,f5_216,0,
secondary,f5_222,0,
secondary,f5_232,0,
secondary,f5_238,0,
secondary,f5_308,0,
secondary,f5_274,0,
secondary,f5_243,0,
secondary,f5_256,0,
f5_22,slack,0,
f5_22,primary,0,
f5_22,secondary,1,
f5_22,f5_22,1,
f5_22,f5_75,1,
f5_22,f5_83,0,
f5_22,f5_117,0,
f5_22,f5_87,0,
f5_22,f5_132,0,
f5_22,f5_92,0,
f5_22,f5_140,0,
f5_22,f5_98,0,
f5_22,f5_130,0,
f5_22,f5_105,0,
f5_22,f5_148,0,
f5_22,f5_111,0,
f5_22,f5_166,0,
f5_22,f5_133,0,
f5_22,f5_124,0,
f5_22,f5_125,0,
f5_22,f5_149,0,
f5_22,f5_139,0,
f5_22,f5_161,0,
f5_22,f5_142,0,
f5_22,f5_153,0,
f5_22,f5_188,0,
f5_22,f5_160,0,
f5_22,f5_151,0,
f5_22,f5_167,0,
f5_22,f5_159,0,
