time,P_mu,P_sigma,Q_mu,Q_sigma,
10,371.2367,687.7295,67.6961,114.0302,
20,350.2917,779.0894,68.0037,116.5227,
30,296.1642,604.5387,65.3759,112.6229,
40,268.4201,573.9133,67.9496,116.0417,
50,257.6766,578.3798,65.6257,115.6221,
60,246.6287,567.8012,63.8439,115.345,
70,225.969,531.1179,64.6975,112.0147,
80,212.748,504.2017,65.7977,114.965,
90,212.6368,518.3166,68.1547,114.7682,
100,201.917,491.6361,66.3026,112.8728,
110,187.9485,464.779,67.6847,112.3251,
120,191.5265,468.1249,74.193,120.0119,
130,183.0195,452.0172,75.026,118.3779,
140,178.0805,459.1169,70.5443,111.4889,
150,174.5585,444.2121,72.5213,115.4214,
160,173.7616,451.6115,71.446,115.7306,
170,161.1079,428.7099,62.8895,111.4118,
180,161.2955,420.7457,65.21,111.4398,
190,156.6975,400.7767,68.0337,112.4717,
200,155.8535,384.0205,70.4105,113.7939,
210,152.2938,379.1312,70.5494,114.1403,
220,148.2885,371.5964,67.9597,108.8492,
230,132.8475,313.892,66.8801,113.1775,
240,154.663,401.5316,68.8882,117.7197,
250,137.6755,335.1941,67.9808,114.6012,
260,136.7335,345.2182,62.9991,110.7674,
270,149.6077,387.3945,69.1302,114.3185,
280,134.1617,315.5955,67.8938,114.2822,
290,141.3485,360.413,67.4438,112.1055,
300,134.0925,320.9235,67.6594,110.2094,
310,148.5393,429.7651,68.0855,110.9057,
320,148.8589,395.1985,66.9083,109.2827,
330,139.1064,351.8033,65.8638,110.9148,
340,154.6896,419.2897,64.0515,110.7331,
350,166.1021,463.4282,68.0849,111.1981,
360,172.412,453.0895,72.4575,112.5117,
370,191.0105,565.3305,77.014,118.3631,
380,243.7486,731.8315,74.2819,120.5732,
390,238.3506,656.6621,74.3176,123.5049,
400,348.2404,967.9408,67.7987,120.0729,
410,378.3542,912.5515,62.4769,113.3336,
420,369.4326,828.0452,61.3744,111.3232,
430,376.8321,838.2406,65.3921,120.6127,
440,472.604,1079.0791,66.3278,123.4504,
