Loads,data_time,PDem,QDem,ZIP_P_P,ZIP_P_I,ZIP_P_Z,ZIP_Q_P,ZIP_Q_I,ZIP_Q_Z
LOAD1,10,3495,171.9106,0.099863,0.21263,0.68751,0.71052,-0.93871,1.2282
LOAD1,20,1421,166.4432,0.26293,0.43395,0.30312,0.70408,-0.90715,1.2031
LOAD1,30,1030,197.8805,0.3969,0.31867,0.28443,0.74484,-1.1069,1.362
LOAD1,40,226,225.7927,0.70796,0.15597,0.13606,0.56851,-0.98787,1.4194
LOAD1,50,46,-1.9949,0.34783,0.375,0.27717,7.25,-9.88,3.63
LOAD1,60,46,-1.9949,0.34783,0.375,0.27717,7.25,-9.88,3.63
LOAD1,70,46,-1.9949,0.34783,0.375,0.27717,7.25,-9.88,3.63
LOAD1,80,46,-1.9949,0.34783,0.375,0.27717,7.25,-9.88,3.63
LOAD1,90,46,-1.9949,0.34783,0.375,0.27717,7.25,-9.88,3.63
LOAD1,100,46,-1.9949,0.34783,0.375,0.27717,7.25,-9.88,3.63
LOAD1,110,46,-1.9949,0.34783,0.375,0.27717,7.25,-9.88,3.63
LOAD1,120,46,-1.9949,0.34783,0.375,0.27717,7.25,-9.88,3.63
LOAD1,130,46,-1.9949,0.34783,0.375,0.27717,7.25,-9.88,3.63
LOAD1,140,46,-1.9949,0.34783,0.375,0.27717,7.25,-9.88,3.63
LOAD1,150,46,-1.9949,0.34783,0.375,0.27717,7.25,-9.88,3.63
LOAD1,160,226,225.7927,0.70796,0.15597,0.13606,0.56851,-0.98787,1.4194
LOAD1,170,226,225.7927,0.70796,0.15597,0.13606,0.56851,-0.98787,1.4194
LOAD1,180,226,225.7927,0.70796,0.15597,0.13606,0.56851,-0.98787,1.4194
LOAD1,190,226,225.7927,0.70796,0.15597,0.13606,0.56851,-0.98787,1.4194
LOAD1,200,226,225.7927,0.70796,0.15597,0.13606,0.56851,-0.98787,1.4194
LOAD1,210,46,-1.9949,0.34783,0.375,0.27717,7.25,-9.88,3.63
LOAD1,220,46,-1.9949,0.34783,0.375,0.27717,7.25,-9.88,3.63
LOAD1,230,46,-1.9949,0.34783,0.375,0.27717,7.25,-9.88,3.63
LOAD1,240,46,-1.9949,0.34783,0.375,0.27717,7.25,-9.88,3.63
LOAD1,250,46,-1.9949,0.34783,0.375,0.27717,7.25,-9.88,3.63
LOAD1,260,46,-1.9949,0.34783,0.375,0.27717,7.25,-9.88,3.63
LOAD1,270,46,-1.9949,0.34783,0.375,0.27717,7.25,-9.88,3.63
LOAD1,280,46,-1.9949,0.34783,0.375,0.27717,7.25,-9.88,3.63
LOAD1,290,46,-1.9949,0.34783,0.375,0.27717,7.25,-9.88,3.63
LOAD1,300,46,-1.9949,0.34783,0.375,0.27717,7.25,-9.88,3.63
LOAD1,310,46,-1.9949,0.34783,0.375,0.27717,7.25,-9.88,3.63
LOAD1,320,226,225.7927,0.70796,0.15597,0.13606,0.56851,-0.98787,1.4194
LOAD1,330,226,225.7927,0.70796,0.15597,0.13606,0.56851,-0.98787,1.4194
LOAD1,340,226,225.7927,0.70796,0.15597,0.13606,0.56851,-0.98787,1.4194
LOAD1,350,226,225.7927,0.70796,0.15597,0.13606,0.56851,-0.98787,1.4194
LOAD1,360,226,225.7927,0.70796,0.15597,0.13606,0.56851,-0.98787,1.4194
LOAD1,370,46,-1.9949,0.34783,0.375,0.27717,7.25,-9.88,3.63
LOAD1,380,125,-13.2518,0.76,0.138,0.102,7.25,-9.88,3.63
LOAD1,390,209,-16.4411,0.41201,0.3689,0.21909,5.9154,-7.8218,2.9064
