Bus_k,Bus_j,Phase_k,Phase_j,Bus_G,Bus_B,
slack,slack,1,1,4622718.383,-16668714.47,
slack,slack,1,2,421877.667,134646.7996,
slack,slack,1,3,421877.667,134646.7996,
slack,slack,2,1,421877.667,134646.7996,
slack,slack,2,2,4622718.383,-16668714.47,
slack,slack,2,3,421877.667,134646.7996,
slack,slack,3,1,421877.667,134646.7996,
slack,slack,3,2,421877.667,134646.7996,
slack,slack,3,3,4622718.383,-16668714.47,
slack,primary,1,1,-0.3477,0.19523,
slack,primary,1,2,0.1161,-0.064954,
slack,primary,1,3,0.1161,-0.064954,
slack,primary,2,1,0.1161,-0.064954,
slack,primary,2,2,-0.3477,0.19523,
slack,primary,2,3,0.1161,-0.064954,
slack,primary,3,1,0.1161,-0.064954,
slack,primary,3,2,0.1161,-0.064954,
slack,primary,3,3,-0.3477,0.19523,
slack,secondary,1,1,0,0,
slack,secondary,1,2,0,0,
slack,secondary,1,3,0,0,
slack,secondary,2,1,0,0,
slack,secondary,2,2,0,0,
slack,secondary,2,3,0,0,
slack,secondary,3,1,0,0,
slack,secondary,3,2,0,0,
slack,secondary,3,3,0,0,
slack,f5_22,1,1,0,0,
slack,f5_22,1,2,0,0,
slack,f5_22,1,3,0,0,
slack,f5_22,2,1,0,0,
slack,f5_22,2,2,0,0,
slack,f5_22,2,3,0,0,
slack,f5_22,3,1,0,0,
slack,f5_22,3,2,0,0,
slack,f5_22,3,3,0,0,
slack,f5_75,1,1,0,0,
slack,f5_75,1,2,0,0,
slack,f5_75,1,3,0,0,
slack,f5_75,2,1,0,0,
slack,f5_75,2,2,0,0,
slack,f5_75,2,3,0,0,
slack,f5_75,3,1,0,0,
slack,f5_75,3,2,0,0,
slack,f5_75,3,3,0,0,
slack,f5_83,1,1,0,0,
slack,f5_83,1,2,0,0,
slack,f5_83,1,3,0,0,
slack,f5_83,2,1,0,0,
slack,f5_83,2,2,0,0,
slack,f5_83,2,3,0,0,
slack,f5_83,3,1,0,0,
slack,f5_83,3,2,0,0,
slack,f5_83,3,3,0,0,
slack,f5_117,1,1,0,0,
slack,f5_117,1,2,0,0,
slack,f5_117,1,3,0,0,
slack,f5_117,2,1,0,0,
slack,f5_117,2,2,0,0,
slack,f5_117,2,3,0,0,
slack,f5_117,3,1,0,0,
slack,f5_117,3,2,0,0,
slack,f5_117,3,3,0,0,
slack,f5_87,1,1,0,0,
slack,f5_87,1,2,0,0,
slack,f5_87,1,3,0,0,
slack,f5_87,2,1,0,0,
slack,f5_87,2,2,0,0,
slack,f5_87,2,3,0,0,
slack,f5_87,3,1,0,0,
slack,f5_87,3,2,0,0,
slack,f5_87,3,3,0,0,
slack,f5_132,1,1,0,0,
slack,f5_132,1,2,0,0,
slack,f5_132,1,3,0,0,
slack,f5_132,2,1,0,0,
slack,f5_132,2,2,0,0,
slack,f5_132,2,3,0,0,
slack,f5_132,3,1,0,0,
slack,f5_132,3,2,0,0,
slack,f5_132,3,3,0,0,
slack,f5_92,1,1,0,0,
slack,f5_92,1,2,0,0,
slack,f5_92,1,3,0,0,
slack,f5_92,2,1,0,0,
slack,f5_92,2,2,0,0,
slack,f5_92,2,3,0,0,
slack,f5_92,3,1,0,0,
slack,f5_92,3,2,0,0,
slack,f5_92,3,3,0,0,
slack,f5_140,1,1,0,0,
slack,f5_140,1,2,0,0,
slack,f5_140,1,3,0,0,
slack,f5_140,2,1,0,0,
slack,f5_140,2,2,0,0,
slack,f5_140,2,3,0,0,
slack,f5_140,3,1,0,0,
slack,f5_140,3,2,0,0,
slack,f5_140,3,3,0,0,
slack,f5_98,1,1,0,0,
slack,f5_98,1,2,0,0,
slack,f5_98,1,3,0,0,
slack,f5_98,2,1,0,0,
slack,f5_98,2,2,0,0,
slack,f5_98,2,3,0,0,
slack,f5_98,3,1,0,0,
slack,f5_98,3,2,0,0,
slack,f5_98,3,3,0,0,
slack,f5_130,1,1,0,0,
slack,f5_130,1,2,0,0,
slack,f5_130,1,3,0,0,
slack,f5_130,2,1,0,0,
slack,f5_130,2,2,0,0,
slack,f5_130,2,3,0,0,
slack,f5_130,3,1,0,0,
slack,f5_130,3,2,0,0,
slack,f5_130,3,3,0,0,
slack,f5_105,1,1,0,0,
slack,f5_105,1,2,0,0,
slack,f5_105,1,3,0,0,
slack,f5_105,2,1,0,0,
slack,f5_105,2,2,0,0,
slack,f5_105,2,3,0,0,
slack,f5_105,3,1,0,0,
slack,f5_105,3,2,0,0,
slack,f5_105,3,3,0,0,
slack,f5_148,1,1,0,0,
slack,f5_148,1,2,0,0,
slack,f5_148,1,3,0,0,
slack,f5_148,2,1,0,0,
slack,f5_148,2,2,0,0,
slack,f5_148,2,3,0,0,
slack,f5_148,3,1,0,0,
slack,f5_148,3,2,0,0,
slack,f5_148,3,3,0,0,
slack,f5_111,1,1,0,0,
slack,f5_111,1,2,0,0,
slack,f5_111,1,3,0,0,
slack,f5_111,2,1,0,0,
slack,f5_111,2,2,0,0,
slack,f5_111,2,3,0,0,
slack,f5_111,3,1,0,0,
slack,f5_111,3,2,0,0,
slack,f5_111,3,3,0,0,
slack,f5_166,1,1,0,0,
slack,f5_166,1,2,0,0,
slack,f5_166,1,3,0,0,
slack,f5_166,2,1,0,0,
slack,f5_166,2,2,0,0,
slack,f5_166,2,3,0,0,
slack,f5_166,3,1,0,0,
slack,f5_166,3,2,0,0,
slack,f5_166,3,3,0,0,
slack,f5_133,1,1,0,0,
slack,f5_133,1,2,0,0,
slack,f5_133,1,3,0,0,
slack,f5_133,2,1,0,0,
slack,f5_133,2,2,0,0,
slack,f5_133,2,3,0,0,
slack,f5_133,3,1,0,0,
slack,f5_133,3,2,0,0,
slack,f5_133,3,3,0,0,
slack,f5_124,1,1,0,0,
slack,f5_124,1,2,0,0,
slack,f5_124,1,3,0,0,
slack,f5_124,2,1,0,0,
slack,f5_124,2,2,0,0,
slack,f5_124,2,3,0,0,
slack,f5_124,3,1,0,0,
slack,f5_124,3,2,0,0,
slack,f5_124,3,3,0,0,
slack,f5_125,1,1,0,0,
slack,f5_125,1,2,0,0,
slack,f5_125,1,3,0,0,
slack,f5_125,2,1,0,0,
slack,f5_125,2,2,0,0,
slack,f5_125,2,3,0,0,
slack,f5_125,3,1,0,0,
slack,f5_125,3,2,0,0,
slack,f5_125,3,3,0,0,
slack,f5_149,1,1,0,0,
slack,f5_149,1,2,0,0,
slack,f5_149,1,3,0,0,
slack,f5_149,2,1,0,0,
slack,f5_149,2,2,0,0,
slack,f5_149,2,3,0,0,
slack,f5_149,3,1,0,0,
slack,f5_149,3,2,0,0,
slack,f5_149,3,3,0,0,
slack,f5_139,1,1,0,0,
slack,f5_139,1,2,0,0,
slack,f5_139,1,3,0,0,
slack,f5_139,2,1,0,0,
slack,f5_139,2,2,0,0,
slack,f5_139,2,3,0,0,
slack,f5_139,3,1,0,0,
slack,f5_139,3,2,0,0,
slack,f5_139,3,3,0,0,
slack,f5_161,1,1,0,0,
slack,f5_161,1,2,0,0,
slack,f5_161,1,3,0,0,
slack,f5_161,2,1,0,0,
slack,f5_161,2,2,0,0,
slack,f5_161,2,3,0,0,
slack,f5_161,3,1,0,0,
slack,f5_161,3,2,0,0,
slack,f5_161,3,3,0,0,
slack,f5_142,1,1,0,0,
slack,f5_142,1,2,0,0,
slack,f5_142,1,3,0,0,
slack,f5_142,2,1,0,0,
slack,f5_142,2,2,0,0,
slack,f5_142,2,3,0,0,
slack,f5_142,3,1,0,0,
slack,f5_142,3,2,0,0,
slack,f5_142,3,3,0,0,
slack,f5_153,1,1,0,0,
slack,f5_153,1,2,0,0,
slack,f5_153,1,3,0,0,
slack,f5_153,2,1,0,0,
slack,f5_153,2,2,0,0,
slack,f5_153,2,3,0,0,
slack,f5_153,3,1,0,0,
slack,f5_153,3,2,0,0,
slack,f5_153,3,3,0,0,
slack,f5_188,1,1,0,0,
slack,f5_188,1,2,0,0,
slack,f5_188,1,3,0,0,
slack,f5_188,2,1,0,0,
slack,f5_188,2,2,0,0,
slack,f5_188,2,3,0,0,
slack,f5_188,3,1,0,0,
slack,f5_188,3,2,0,0,
slack,f5_188,3,3,0,0,
slack,f5_160,1,1,0,0,
slack,f5_160,1,2,0,0,
slack,f5_160,1,3,0,0,
slack,f5_160,2,1,0,0,
slack,f5_160,2,2,0,0,
slack,f5_160,2,3,0,0,
slack,f5_160,3,1,0,0,
slack,f5_160,3,2,0,0,
slack,f5_160,3,3,0,0,
slack,f5_151,1,1,0,0,
slack,f5_151,1,2,0,0,
slack,f5_151,1,3,0,0,
slack,f5_151,2,1,0,0,
slack,f5_151,2,2,0,0,
slack,f5_151,2,3,0,0,
slack,f5_151,3,1,0,0,
slack,f5_151,3,2,0,0,
slack,f5_151,3,3,0,0,
slack,f5_167,1,1,0,0,
slack,f5_167,1,2,0,0,
slack,f5_167,1,3,0,0,
slack,f5_167,2,1,0,0,
slack,f5_167,2,2,0,0,
slack,f5_167,2,3,0,0,
slack,f5_167,3,1,0,0,
slack,f5_167,3,2,0,0,
slack,f5_167,3,3,0,0,
slack,f5_159,1,1,0,0,
slack,f5_159,1,2,0,0,
slack,f5_159,1,3,0,0,
slack,f5_159,2,1,0,0,
slack,f5_159,2,2,0,0,
slack,f5_159,2,3,0,0,
slack,f5_159,3,1,0,0,
slack,f5_159,3,2,0,0,
slack,f5_159,3,3,0,0,
slack,f5_174,1,1,0,0,
slack,f5_174,1,2,0,0,
slack,f5_174,1,3,0,0,
slack,f5_174,2,1,0,0,
slack,f5_174,2,2,0,0,
slack,f5_174,2,3,0,0,
slack,f5_174,3,1,0,0,
slack,f5_174,3,2,0,0,
slack,f5_174,3,3,0,0,
slack,f5_211,1,1,0,0,
slack,f5_211,1,2,0,0,
slack,f5_211,1,3,0,0,
slack,f5_211,2,1,0,0,
slack,f5_211,2,2,0,0,
slack,f5_211,2,3,0,0,
slack,f5_211,3,1,0,0,
slack,f5_211,3,2,0,0,
slack,f5_211,3,3,0,0,
slack,f5_178,1,1,0,0,
slack,f5_178,1,2,0,0,
slack,f5_178,1,3,0,0,
slack,f5_178,2,1,0,0,
slack,f5_178,2,2,0,0,
slack,f5_178,2,3,0,0,
